Test Name,srthsht
Engineer,
Location,
Test Info,


Time,Elapsed Time,1GASCO,1GASCO2,1GASO2,2GASCO,2GASCO2,2GASO2,3GASCO,3GASCO2,3GASO2,4GASCO,4GASCO2,4GASO2,Event
2021-10-21 12:35:50,00:00:08,0.003991,0.000128,4.222377,0.003669,0.000128,4.239759,-0.000194,0.004634,4.215295,0.007210,-0.002769,4.245231,
2021-10-21 12:35:50,00:00:08,0.003347,-0.000194,4.223664,0.001737,0.002381,4.239759,-0.002769,0.009141,4.216583,0.008175,-0.002447,4.243622,
2021-10-21 12:35:50,00:00:08,0.003991,0.000772,4.226240,-0.000516,0.004634,4.238150,0.004634,0.005922,4.219480,0.004634,-0.002125,4.244266,
2021-10-21 12:35:50,00:00:08,0.002059,0.000450,4.226562,-0.000516,0.004634,4.236862,0.003991,0.002381,4.222699,0.004312,-0.001482,4.241691,
2021-10-21 12:35:51,00:00:08,0.002381,0.001415,4.226562,-0.001160,0.004956,4.234931,0.008175,-0.004379,4.222055,0.002059,0.002059,4.242334,
2021-10-21 12:35:51,00:00:09,0.000772,0.001415,4.223986,0.001737,0.003025,4.236218,0.003991,-0.002447,4.227205,0.001094,0.003025,4.240081,
2021-10-21 12:35:51,00:00:09,-0.001803,0.003991,4.221733,0.002703,0.001737,4.239759,0.006566,-0.004700,4.228493,-0.001160,0.008497,4.240403,
2021-10-21 12:35:51,00:00:09,-0.001160,0.003991,4.223342,0.006244,0.000450,4.240081,0.003991,-0.001482,4.229458,0.000772,0.003669,4.238793,
2021-10-21 12:35:51,00:00:09,-0.001160,0.004634,4.223664,0.005278,-0.000516,4.241368,0.003347,0.000772,4.224952,0.001737,0.004956,4.235574,
2021-10-21 12:35:52,00:00:09,0.000450,0.002381,4.220446,0.006566,-0.001160,4.241368,-0.002769,0.007210,4.222055,0.001737,0.003991,4.238150,
2021-10-21 12:35:52,00:00:10,0.002703,0.002703,4.223021,0.004634,-0.000516,4.239437,-0.001482,0.005600,4.221733,0.006244,-0.000838,4.238793,
2021-10-21 12:35:52,00:00:10,0.005278,0.000772,4.226240,0.003347,0.001094,4.236218,0.001415,0.006888,4.218192,0.006888,-0.003735,4.242978,
2021-10-21 12:35:52,00:00:10,0.004312,-0.000194,4.229136,-0.001160,0.002703,4.237506,-0.003091,0.007853,4.215295,0.009463,-0.005022,4.243944,
2021-10-21 12:35:52,00:00:10,0.006244,-0.002447,4.229136,-0.001803,0.003991,4.236218,0.003669,0.004312,4.219158,0.004634,-0.004057,4.246840,
2021-10-21 12:35:53,00:00:10,0.002059,-0.000194,4.224952,0.000772,0.004312,4.237506,0.003991,-0.000838,4.220767,0.003991,-0.000838,4.240081,
2021-10-21 12:35:53,00:00:11,0.001737,0.001415,4.223342,0.001415,0.004312,4.237506,0.005600,0.000128,4.222377,0.000772,0.003991,4.238150,
2021-10-21 12:35:53,00:00:11,0.000450,0.003347,4.224952,0.003669,0.003347,4.236862,0.006566,-0.004057,4.225596,-0.000838,0.003991,4.236540,
2021-10-21 12:35:53,00:00:11,0.000128,0.004312,4.223342,0.003991,0.001415,4.240403,0.003991,0.000128,4.221411,0.003025,0.002703,4.237506,
2021-10-21 12:35:54,00:00:11,-0.000516,0.003991,4.224308,0.005922,-0.000194,4.236862,0.003991,-0.000194,4.232677,0.000450,0.008175,4.235574,
2021-10-21 12:35:54,00:00:12,0.001094,0.004956,4.221733,0.006244,-0.000838,4.237828,0.004956,0.003669,4.226883,0.001737,0.005600,4.236218,
2021-10-21 12:35:54,00:00:12,0.002059,0.003347,4.221089,0.006888,-0.002447,4.242334,-0.003735,0.007853,4.220446,0.004634,0.001094,4.238472,
2021-10-21 12:35:54,00:00:12,0.003669,0.000772,4.224630,0.002703,-0.000194,4.241691,-0.002125,0.007210,4.214330,0.007853,-0.002447,4.242013,
2021-10-21 12:35:54,00:00:12,0.002059,0.002381,4.226240,0.003025,0.001737,4.238150,0.002059,0.001415,4.221089,0.002381,0.000128,4.242334,
2021-10-21 12:35:55,00:00:12,0.003347,-0.000838,4.227527,0.000772,0.003669,4.238150,0.000450,0.004956,4.216905,0.004312,-0.000838,4.242978,
2021-10-21 12:35:55,00:00:13,0.003669,-0.001160,4.223664,-0.000194,0.004312,4.239115,0.002703,0.001415,4.222055,0.003347,-0.001482,4.241691,
2021-10-21 12:35:55,00:00:13,0.002059,0.000450,4.225274,-0.001160,0.005600,4.240081,0.005922,-0.001482,4.224952,0.002703,0.000772,4.238472,
2021-10-21 12:35:55,00:00:13,-0.001160,0.002381,4.220446,0.003669,0.002381,4.239759,0.005278,-0.001160,4.227205,0.000772,0.006244,4.236862,
2021-10-21 12:35:55,00:00:13,-0.000516,0.006888,4.219480,0.005922,0.000772,4.238150,0.007853,-0.004057,4.234609,-0.003091,0.009463,4.236862,
2021-10-21 12:35:56,00:00:13,-0.001482,0.005922,4.218836,0.006566,-0.002769,4.241691,0.001094,-0.000516,4.229780,0.001094,0.005922,4.237184,
2021-10-21 12:35:56,00:00:14,-0.000516,0.006244,4.219802,0.006888,-0.003413,4.242656,0.000772,0.003669,4.223021,0.003991,0.003669,4.236862,
2021-10-21 12:35:56,00:00:14,0.002703,0.000772,4.221733,0.005278,-0.000838,4.239437,0.000128,0.005278,4.220124,0.004634,0.001094,4.238472,
2021-10-21 12:35:56,00:00:14,0.003347,0.000772,4.221411,0.003025,0.001737,4.241368,0.001094,0.005922,4.218514,0.003669,-0.002447,4.242656,
2021-10-21 12:35:56,00:00:14,0.002703,-0.000838,4.223986,0.001415,0.002703,4.241046,-0.002447,0.004956,4.217870,0.006244,-0.003091,4.242013,
2021-10-21 12:35:57,00:00:14,0.003991,-0.000838,4.224308,0.001415,0.004312,4.237506,0.003025,0.003347,4.216261,0.005922,-0.002125,4.244587,
